OD_ORIGIN_AIRPRT_IATA_CD,OD_DESTNTN_AIRPRT_IATA_CD,AIRPORT_NM,OD_DEP_CITY_METRO_CD,OD_ARVL_CITY_METRO_CD,CITY,CNTRY_CD,STATE_PROVNC_CD
BUY,BUY,Bunbury,BUY,BUY,Bunbury,AU,WA
BUZ,BUZ,Bushehr,BUZ,BUZ,Bushehr,IR,
BVA,BVA,Beauvais-Tille,PAR,PAR,Paris,FR,
BVB,BVB,A.B. Cantanhede Intl,BVB,BVB,Boa Vista,BR,RR
BVC,BVC,Rabil,BVC,BVC,Boa Vista Island,CV,
BVE,BVE,Vallee de la Dordogne,BVE,BVE,Brive-la-Gaillarde,FR,
BVF,BVF,Dama,BVF,BVF,Bua,FJ,
BVG,BVG,Berlevag,BVG,BVG,Berlevag,NO,
BVH,BVH,Brigadeiro Camarao,BVH,BVH,Vilhena,BR,RO
BVI,BVI,Birdsville,BVI,BVI,Birdsville,AU,QL
BVJ,BVJ,Bovanenkovo,BVJ,BVJ,Bovanenkovo,RU,
BVK,BVK,Huacaraje,BVK,BVK,Huacaraje,BO,
BVL,BVL,Baures,BVL,BVL,Baures,BO,
BVM,BVM,Belmonte,BVM,BVM,Belmonte,BR,BA
BVO,BVO,Bartlesville Municipal,BVO,BVO,Bartlesville,US,OK
BVP,BVP,Bolovip,BVP,BVP,Bolovip,PG,
BVR,BVR,Esperadinha,BVR,BVR,Brava Island,CV,
BVS,BVS,Breves,BVS,BVS,Breves,BR,PA
BVU,BVU,Beluga,BVU,BVU,Beluga,US,AK
BVV,BVV,Burevestnik AFB,ITU,ITU,Iturup Island,RU,
BVW,BVW,Batavia Downs,BVW,BVW,Batavia Downs,AU,QL
BVX,BVX,Batesville Regional,BVX,BVX,Batesville,US,AR
BVY,BVY,Beverly Municipal,BVY,BVY,Beverly,US,MA
BVZ,BVZ,Beverley Springs,BVZ,BVZ,Beverley Springs,AU,WA
BWA,BWA,Gautam Buddha,BWA,BWA,Bhairahawa,NP,
BWB,BWB,Barrow Island,BWB,BWB,Barrow Island,AU,WA
BWC,BWC,Brawley Municipal,BWC,BWC,Brawley,US,CA
BWD,BWD,Brownwood Regional,BWD,BWD,Brownwood,US,TX
BWE,BWE,Braunschweig/Wolfsburg,BWE,BWE,Braunschweig/Wolfsburg,DE,
BWF,BWF,Walney Island,BWF,BWF,Barrow-in-Furness,GB,
BWG,BWG,Warren County Regional,BWG,BWG,Bowling Green,US,KY
BWH,BWH,Butterworth,BWH,BWH,Butterworth,MY,
BWI,BWI,Baltimore/Wash. Intl,BWI,BWI,Baltimore,US,MD
BWJ,BWJ,Bawan,BWJ,BWJ,Bawan,PG,
BWK,BWK,Bol,BWK,BWK,Brac,HR,
BWL,BWL,Blackwell-Tonkawa Muni,BWL,BWL,Blackwell,US,OK
BWM,BWM,Bowman Municipal,BWM,BWM,Bowman,US,ND
BWN,BWN,Brunei International,BWN,BWN,Bandar Seri Begawan,BN,
BWO,BWO,Balakovo,BWO,BWO,Balakovo,RU,
BWP,BWP,Bewani,BWP,BWP,Bewani,PG,
BWQ,BWQ,Brewarrina,BWQ,BWQ,Brewarrina,AU,NS
BWT,BWT,Wynyard,BWT,BWT,Burnie,AU,TS
BWU,BWU,Bankstown,SYD,SYD,Sydney,AU,NS
BWW,BWW,Las Brujas,BWW,BWW,Cayo las Brujas,CU,
